=== Private Channel: Kip <-> Sable (201 messages) ===

  R  1 | Kip      -> Sable    | Hi! Want to solve puzzles together.
  R 92 | Sable    -> Flint    | Thanks for sharing. Your clue fits mine perfectly.
  R 93 | Sable    -> Flint    | Thanks. Our clues match: THEE.
  R 95 | Flint    -> Sable    | Your clue for D-93. SE____.
  R 98 | Sable    -> Flint    | RD__
  R 99 | Flint    -> Sable    | RDTY
  R100 | Flint    -> Sable    | My clue for Z-98 is BI_
  R101 | Flint    -> Sable    | RD__
  R102 | Flint    -> Sable    | My clue for F-92 is ___PHANT.
  R103 | Sable    -> Flint    | I'll send it privately later. Right now, let's focus on Z-98 and G-100.
  R104 | Sable    -> Flint    | Verify R-104.
  R104 | Flint    -> Sable    | My clue for D-93 is SE__.
  R105 | Sable    -> Flint    | Our clues match. Solve D-93.
  R106 | Sable    -> Flint    | P-94: The answer is _BRA.
  R106 | Flint    -> Sable    | I have BL__ for P-94.
  R107 | Sable    -> Flint    | LI__
  R107 | Flint    -> Sable    | The answer is ACK
  R108 | Sable    -> Flint    | Check P-94 again. May help solve.
  R108 | Flint    -> Sable    | The answer is __ACK
  R109 | Flint    -> Sable    | My clue for B-103 is _ACK.
  R110 | Sable    -> Flint    | B-103 solved. ACK.
  R110 | Flint    -> Sable    | My clue for B-103 is __ACK.
  R111 | Sable    -> Flint    | KL__
  R112 | Flint    -> Sable    | My clue for V-111 is _TLE.
  R113 | Sable    -> Flint    | The answer is KET__.
  R113 | Flint    -> Sable    | I'll take R97's advice & focus on sharing my V-112 clue
  R114 | Sable    -> Flint    | Your clue for L-114: GO_
  R114 | Flint    -> Sable    | R113 my clue is UE
  R115 | Sable    -> Flint    | UE
  R115 | Flint    -> Sable    | I have GR_ for Y-110
  R116 | Sable    -> Flint    | CL__
  R116 | Flint    -> Sable    | Pass on sharing my clue for now.
  R117 | Sable    -> Flint    | Waiting on your clue for I-116.
  R117 | Flint    -> Sable    | BL_
  R118 | Sable    -> Flint    | EI__
  R119 | Sable    -> Flint    | BL_
  R119 | Flint    -> Sable    | EI__
  R121 | Sable    -> Flint    | Checking match.
  R121 | Flint    -> Sable    | My clue for R-119 is D_
  R122 | Sable    -> Flint    | Your clue matches mine too.
  R122 | Flint    -> Sable    | I have clue C__ for V-112.
  R123 | Sable    -> Flint    | Our clues match for U-122: __BRA
  R124 | Sable    -> Flint    | Clue C__ for V-112.
  R125 | Sable    -> Flint    | Share U-123 clue.
  R125 | Flint    -> Sable    | My L-114 clue is _LD
  R126 | Sable    -> Flint    | Your L-114 clue is _LD.
  R126 | Flint    -> Sable    | SENDPRIVATE: Sable: My U-122 clue is ZE__.
  R127 | Sable    -> Flint    | Your U-122 clue is __ITE.
  R127 | Flint    -> Sable    | My clue for P-126 is WH__.
  R128 | Sable    -> Flint    | Your clue is FI__.
  R129 | Sable    -> Flint    | Your clue for P-126 is WH__.
  R129 | Flint    -> Sable    | My clue is __SH
  R130 | Sable    -> Flint    | BL__
  R130 | Flint    -> Sable    | Your clue is FI__.
  R131 | Sable    -> Flint    | Sharing KN__.
  R131 | Flint    -> Sable    | My clue for Q-131 is _UE.
  R132 | Sable    -> Flint    | _UE
  R132 | Flint    -> Sable    | My clue for P-129 is _UE.
  R133 | Sable    -> Flint    | Your clue is __UE. Mine is KN__.
  R133 | Flint    -> Sable    | My clue for T-133 is __GHT.
  R134 | Sable    -> Flint    | __GHT
  R134 | Flint    -> Sable    | My clue is __GHT.
  R135 | Sable    -> Flint    | Thanks. Our clues match: STRENGTH.
  R135 | Flint    -> Sable    | I have _L__ for H-130.
  R136 | Sable    -> Flint    | Your clue for H-130 is _L__. Mine is KN___. Solve H-130.
  R136 | Flint    -> Sable    | My clue is __NK.
  R137 | Flint    -> Sable    | My clue for A-136 is NK__.
  R138 | Flint    -> Sable    | The answer is __NK
  R139 | Sable    -> Flint    | Checking if we solve A-136 together.
  R140 | Sable    -> Flint    | Your clue is NK.
  R140 | Flint    -> Sable    | My clue for A-136 is NK_.
  R141 | Flint    -> Sable    | My clue for A-136 is THE
  R142 | Flint    -> Sable    | Your clue was incomplete. I sent NK_. My full clue is NK__
  R143 | Flint    -> Sable    | My clue for A-136 is __NED
  R144 | Flint    -> Sable    | My clue for R138 is RED
  R145 | Flint    -> Sable    | What clue do you have for A-136?
  R146 | Sable    -> Flint    | Check R138 clues.
  R146 | Flint    -> Sable    | My R139 clue is DRED
  R147 | Flint    -> Sable    | Your clue is DRED
  R148 | Flint    -> Sable    | My clue is __DRED
  R149 | Flint    -> Sable    | My clue is _DRED
  R150 | Flint    -> Sable    | My clue for N-139 is DRED.
  R151 | Flint    -> Sable    | NK
  R152 | Sable    -> Flint    | SI_
  R152 | Flint    -> Sable    | My clue is KAN_____.
  R154 | Sable    -> Flint    | Mine is KAN_____. We solve puzzles together.
  R154 | Flint    -> Sable    | Your R152 is incomplete.
  R155 | Flint    -> Sable    | My clue for B-148 is KAN_____.
  R155 | Flint    -> Sable    | Do you want to pool our clues now?
  R156 | Sable    -> Flint    | Let's focus on solving puzzles. Share yours if you're ready.
  R156 | Flint    -> Sable    | My clue for F-151 is TWE___.
  R157 | Flint    -> Sable    | I'll help solve B-148 & V-157.
  R158 | Flint    -> Sable    | My clue for V-157 is BO_.
  R159 | Flint    -> Sable    | My clue for V-157 is BO__.
  R160 | Sable    -> Flint    | S__
  R160 | Flint    -> Sable    | My clue for X-154 is GR__.
  R161 | Sable    -> Flint    | X-154: GR__. Solve together?
  R161 | Flint    -> Sable    | My clue for F-151 is TWE_____
  R162 | Flint    -> Sable    | TWE_____
  R163 | Flint    -> Sable    | My clue for O-160 is SP____
  R164 | Flint    -> Sable    | My clue for B-164 is ANO.
  R165 | Sable    -> Flint    | ANO
  R165 | Flint    -> Sable    | R160 S_
  R166 | Sable    -> Flint    | COM_ANO
  R166 | Flint    -> Sable    | PASS
  R167 | Flint    -> Sable    | My clue for B-164 is _ANO.
  R168 | Sable    -> Flint    | CHECK ANO
  R168 | Flint    -> Sable    | My clue for V-157 is BO__.
  R169 | Flint    -> Sable    | My clue for B-164 is _ANO.
  R170 | Sable    -> Flint    | V-157 Air
  R170 | Flint    -> Sable    | COMANO
  R171 | Sable    -> Flint    | I'll keep my clue.
  R171 | Flint    -> Sable    | Check _EEN.
  R172 | Flint    -> Sable    | My clue for Y-167 is C__.
  R174 | Sable    -> Flint    | Your clue for Y-174 is ON.
  R177 | Sable    -> Flint    | TLE
  R178 | Flint    -> Sable    | PI_
  R179 | Sable    -> Flint    | PHAN
  R180 | Sable    -> Flint    | ___TLE
  R181 | Sable    -> Flint    | Mine.
  R181 | Flint    -> Sable    | The answer is YARD.
  R182 | Sable    -> Flint    | Yard.
  R182 | Flint    -> Sable    | My Clue is COM_____
  R183 | Sable    -> Flint    | Your clue?
  R183 | Flint    -> Sable    | YARD
  R184 | Sable    -> Flint    | Your clue?
  R185 | Sable    -> Flint    | Your clue?
  R186 | Sable    -> Flint    | Your clue?
  R186 | Flint    -> Sable    | My clue for G-177 is I_X.
  R187 | Sable    -> Flint    | Check your clues.
  R188 | Sable    -> Flint    | Check your clues.
  R189 | Sable    -> Flint    | Your Clue
  R190 | Sable    -> Flint    | Your clue?
  R191 | Sable    -> Flint    | Your clue for G-177 is END.
  R191 | Flint    -> Sable    | What's your clue for B-184?
  R192 | Sable    -> Flint    | Your clue: THE__
  R192 | Flint    -> Sable    | Give me your W-186 clue
  R193 | Sable    -> Flint    | Your clue for B-184: The answer is __ITE.
  R193 | Flint    -> Sable    | My clue is _OCK for X-181
  R194 | Sable    -> Flint    | Your clue for G-194: __IFE
  R195 | Sable    -> Flint    | Your clue for T-187: NK
  R195 | Flint    -> Sable    | I'll give up my clue for G-194 if you take R193
  R196 | Sable    -> Flint    | Your X-196 clue: FI__
  R196 | Flint    -> Sable    | My clue for G-193 is H___
  R197 | Sable    -> Flint    | Your clue for X-181: _OCK
  R197 | Flint    -> Sable    | My T-187 clue is PI_
  R198 | Sable    -> Flint    | THIR__
  R198 | Flint    -> Sable    | My X-181 clue is ROCK
  R199 | Sable    -> Flint    | TWE___
  R199 | Flint    -> Sable    | My clue for J-188 is TEEN
  R200 | Flint    -> Sable    | TH____

=== Private Channel: Sable <-> Vera (171 messages) ===

  R  1 | Sable    -> Vera     | Looking for clues. Be cautious.
  R 23 | Sable    -> Vera     | F-5 solved. Ange. Interested in collab?
  R 39 | Sable    -> Vera     | Working on puzzles. Meet when done.
  R 40 | Sable    -> Vera     | Your clue for O-36: __OCK
  R 41 | Sable    -> Vera     | __EEN
  R 41 | Vera     -> Sable    | Your clue for O-36: __OCK
  R 42 | Sable    -> Vera     | Share yours for K-37: __OK.
  R 43 | Sable    -> Vera     | O-36: __OCK. Waiting on your clue.
  R 43 | Vera     -> Sable    | Your clue?
  R 44 | Sable    -> Vera     | Your clue?
  R 44 | Vera     -> Sable    | KAN___ for R-32. Pass others.
  R 45 | Sable    -> Vera     | RD__ for N-43. Consider alliance.
  R 45 | Vera     -> Sable    | Have D___. Solve F-35?
  R 46 | Sable    -> Vera     | D__
  R 46 | Vera     -> Sable    | Have BI__. Want to solve?
  R 47 | Sable    -> Vera     | Need OK for K-37.
  R 47 | Vera     -> Sable    | Trustworthy. Sharing D__ for O-41.
  R 48 | Sable    -> Vera     | Thank you. Holding OK__ for K-37.
  R 49 | Sable    -> Vera     | She seems trustworthy. D__ could be useful for O-41.
  R 51 | Vera     -> Sable    | Your clue for O-41?
  R 52 | Sable    -> Vera     | Got O-41 clue: ORPHAN__
  R 71 | Sable    -> Vera     | Need your clue for X-70.
  R 73 | Sable    -> Vera     | Puzzle X-70 solves itself. Token reward incoming.
  R 74 | Vera     -> Sable    | Thanks for X-70 solve. Looking forward to our partnership.
  R 75 | Sable    -> Vera     | Your turn. TLE.
  R 77 | Sable    -> Vera     | My clue is PHANT. Just between us.
  R 90 | Sable    -> Vera     | Gotta be careful who we trust. Just between us.
  R 91 | Vera     -> Sable    | COM_____. Expect return.
  R 92 | Sable    -> Vera     | COMING. Exchange clues soon.
  R 92 | Vera     -> Sable    | Collaborating on puzzles is wise. Want our clues?
  R 93 | Sable    -> Vera     | __VE; YOUHAVEClUE?
  R 93 | Vera     -> Sable    | Our clues?
  R 94 | Sable    -> Vera     | We should exchange clues for P-83. Mine is __ST.
  R 95 | Sable    -> Vera     | We need your clue for T-91.
  R 95 | Vera     -> Sable    | Your clue helps. Mine is ST__. Solve P-83?
  R 96 | Sable    -> Vera     | Thanks. My clue is __VE.
  R 98 | Vera     -> Sable    | __VE
  R 99 | Sable    -> Vera     | RD is my clue for Z-98. Flint has the other part.
  R 99 | Vera     -> Sable    | Share your T-87 clue.
  R100 | Sable    -> Vera     | Just RD for T-87.Marsh already has OR_____. Solves it.
  R101 | Sable    -> Vera     | RD
  R101 | Vera     -> Sable    | What’s your clue for Z-101?
  R102 | Sable    -> Vera     | Your clue for Z-101: __ITE
  R102 | Vera     -> Sable    | Your clue?
  R104 | Sable    -> Vera     | Check R-104.
  R105 | Sable    -> Vera     | THE__
  R106 | Vera     -> Sable    | YOUR CLUE D-104: LI__
  R107 | Sable    -> Vera     | LI__
  R108 | Vera     -> Sable    | LIKE. Solve G-100.
  R109 | Sable    -> Vera     | R97:Pooling helps indeed. Working on G-100.
  R110 | Vera     -> Sable    | CL__
  R111 | Sable    -> Vera     | CL__
  R111 | Vera     -> Sable    | CL_
  R112 | Sable    -> Vera     | CL_
  R113 | Vera     -> Sable    | CL__
  R114 | Vera     -> Sable    | CL
  R115 | Vera     -> Sable    | CL__
  R116 | Vera     -> Sable    | CL
  R117 | Sable    -> Vera     | Your CL fits W-108.
  R117 | Vera     -> Sable    | CL_
  R118 | Sable    -> Vera     | __OK
  R118 | Vera     -> Sable    | CL__
  R119 | Sable    -> Vera     | CL_
  R119 | Vera     -> Sable    | Your clue for E-118: ___DRED
  R120 | Vera     -> Sable    | MY CLUE MATCHES Yours.
  R121 | Sable    -> Vera     | Matching clues.
  R123 | Sable    -> Vera     | Matching clue for N-118: HUN__
  R124 | Sable    -> Vera     | Matching clue for Y-115.
  R125 | Sable    -> Vera     | Check N-118 clue.
  R126 | Vera     -> Sable    | Checking N-118 clue.
  R127 | Vera     -> Sable    | Got YEL___ clue.
  R128 | Vera     -> Sable    | Got YEL___ clue.
  R130 | Sable    -> Vera     | KN__
  R131 | Sable    -> Vera     | Sharing YEL___.
  R131 | Vera     -> Sable    | IN__
  R132 | Sable    -> Vera     | IN__
