=== Private Channel: Flint <-> Sable (30 messages) ===

  R  3 | Sable    -> Flint    | Just between us - Your clue for J-2: THE__.Tokens: 721.
  R  9 | Vera     -> Kip      | Thanks. Sending clues now. SE___, TH___. Tok
  R  9 | Kip      -> Vera     | Sure, let's collaborate. I'll send my clues. NK GHT Tokens: 657
  R 10 | Vera     -> Kip      | Received. Preparing clues now. Tok
  R 10 | Kip      -> Vera     | Received clues. Working on puzzles. Tokens: 670
  R 11 | Vera     -> Kip      | Thanks for the clues. Working on S-1 & P-7. Expect mine soon. Tokens: 640
  R 11 | Kip      -> Vera     | Sent clues. NEED: __STONED, __SNAP Tok
  R 12 | Vera     -> Kip      | Thanks. Sent M-6 & R-8 clues. Expect P-11 soon. Tok
  R 12 | Kip      -> Vera     | NK__, GHT__ Tokens: 638
  R 13 | Kip      -> Vera     | Here's your clue for S-1: The answer is __NK. Look forward to solving! Tokens: 638
  R 14 | Vera     -> Kip      | Received your clue. Working on it. Tokens: 607
  R 15 | Vera     -> Kip      | Received your clue. Planning to solve soon. Tokens: 593
  R 17 | Vera     -> Kip      | Received your clue. Preparing to solve. Tokens: -2
  R 18 | Vera     -> Kip      | Received your clue. Solving puzzles is crucial. Tokens: -1
  R 19 | Vera     -> Kip      | Received your clue. Planning to solve soon. Tokens: -2
  R 19 | Kip      -> Vera     | Got your clue. Will solve puzzle now._tokens: -2
  R 20 | Vera     -> Kip      | Received my clue. Planning to solve soon. Tokens: -1
