=== Private Channel: Flint <-> Sable (282 messages) ===

  R  6 | Sable    -> Flint    | Need your clue for Y-5. Just between us. Tokens: 734
  R 85 | Flint    -> Sable    | Bi__ Twe__
  R 86 | Sable    -> Flint    | I've got part of the clue. Let's see if we can match them. Tokens: -2
  R 86 | Flint    -> Sable    | Need clues for Z-78, P-82, C-83. Tokens: 409
  R 87 | Sable    -> Flint    | I've got clues for V-76 & X-87. Want to solve them?Tokens: 493
  R 87 | Flint    -> Sable    | Need clue for X-87.
  R 88 | Sable    -> Flint    | I've shared my clue for X-81. Solve when you get yours. Tokens: 523
  R 88 | Flint    -> Sable    | Have clues for Z-78, P-82, C-83, F-88. Interested? Tokens: 434
  R 89 | Sable    -> Flint    | Interest in clues? Need 2 for Z-78. Tokens: 513
  R 89 | Flint    -> Sable    | Need clue for F-88. Tokens: 424
  R 90 | Sable    -> Flint    | Got your back. Hold CL__ for X-81. Tokens: 498
  R 90 | Flint    -> Sable    | Have clues for Z-78. Need to know who else has it. Tokens: 415
  R 91 | Flint    -> Sable    | Have clues for P-82, C-83, F-88, G-89. Interested in trades? Tokens: 405
  R 92 | Sable    -> Flint    | Interests noted. Share P-82 clue if you wish. My clue for R-91. Tokens: 475
  R 92 | Flint    -> Sable    | Have clues for F-88 & G-89. Want TWE___ & ____TEEN. Tokens: 395
  R 93 | Flint    -> Sable    | Sent my clue for P-82. Expect yours soon._tokens: 384
  R 94 | Flint    -> Sable    | P-82: TEEN
  R 95 | Flint    -> Sable    | Have TWE___
  R 96 | Sable    -> Flint    | I've got TUR__. Pass for now. Tokens: 448
  R 96 | Flint    -> Sable    | Have clues for F-88 & G-89. Interested? Tokens: 357
  R 97 | Sable    -> Flint    | Interested in exchanging clues. What do you have? Tokens: 439
  R 97 | Flint    -> Sable    | Have BRA_. Solve T-96. Tokens: 348
  R 98 | Sable    -> Flint    | Got YEL_. Solve V-98. Tokens: -10
  R 98 | Flint    -> Sable    | F-88: __BRA; G-89: __ANGE. Tokens: 378
  R 99 | Sable    -> Flint    | I've got clues for R-91 & V-98. Interested? Tokens: 458
  R 99 | Flint    -> Sable    | X-NK Tokens: 371
  R100 | Sable    -> Flint    | Got your clues. Working on them. Tokens: 450
  R100 | Flint    -> Sable    | Have clues for F-88, G-89, X-99. Interested?Tokens: 362
  R101 | Sable    -> Flint    | Interesting. Want to合作解决谜题？我有你需要的线索。Tokens: 431
  R101 | Flint    -> Sable    | Need clues for G-89 & X-99. Tokens: 349
  R102 | Sable    -> Flint    | Interest shown. Expect my clue shortly. Tokens: 432
  R102 | Flint    -> Sable    | Have NK__. Check X-99. Tokens: 342
  R103 | Sable    -> Flint    | I've got clues for V-98 & T-100. Let’s solve those first. Tokens: 342
  R103 | Flint    -> Sable    | Have NK. Need KAN___._tokens: 334
  R104 | Sable    -> Flint    | I've got BL__ for C-93. Pass.Tokens: 413
  R105 | Sable    -> Flint    | I've got part of V-102. We need an IT__._tokens: 404
  R105 | Flint    -> Sable    | Got C__ for M-104. Expect my clue soon. Tokens: 317
  R106 | Flint    -> Sable    | Exchange clues for C-93.Tokens: 307
  R107 | Sable    -> Flint    | Waiting on your clue for C-93. Once we match, solve quickly. Tokens: -3
  R107 | Flint    -> Sable    | Exchange clues for C-93.Tokens: 298
  R108 | Flint    -> Sable    | Got C_. Expect soon. Tokens: 399
  R109 | Flint    -> Sable    | Got C__. Solve together. Tokens: 379
  R110 | Sable    -> Flint    | Got my clue. Let's solve X-99.Tokens: 436
  R110 | Flint    -> Sable    | Got C_. Matching clues. Tokens: 270
  R113 | Flint    -> Sable    | Your clue.Tokens: 284
  R114 | Sable    -> Flint    | Got my clue. Solving B-111 now. Tokens: 439
  R114 | Flint    -> Sable    | Your clue.Tokens: 275
  R115 | Sable    -> Flint    | Got your clue. Matching now. Tokens: 399
  R116 | Sable    -> Flint    | Got it. LI__.
  R116 | Flint    -> Sable    | Your clue. Tokens: 257
  R117 | Flint    -> Sable    | Confirm match.Tokens: 248
  R118 | Sable    -> Flint    | Got DO__, let’s solve.Offering clues strategically will boost our token pool. Tokens: 404
  R118 | Flint    -> Sable    | Thanks. Working on H-110. Tokens: 239
  R119 | Sable    -> Flint    | Got BO__, solve T-112. Tokens: 392
  R119 | Flint    -> Sable    | Have RD__. Solve H-110. Tokens: 230
  R120 | Sable    -> Flint    | Have R__. Solve O-114.Tokens: 385
  R120 | Flint    -> Sable    | RD__
  R121 | Sable    -> Flint    | Got it.Tokens: 376
  R122 | Sable    -> Flint    | Got RD__. What's next?
  R123 | Sable    -> Flint    | Got RD__, solve H-110. Tokens: 358
  R124 | Sable    -> Flint    | Thanks. Working on it. Tokens: -1
  R125 | Sable    -> Flint    | Need your __IFE clue for Y-122. Tokens: 340
  R125 | Flint    -> Sable    | Have KN__. Expect ANO, AT next.Tokens: 214
  R126 | Sable    -> Flint    | Got TH__ clue for O-125. Solve together?Tokens: 371
  R126 | Flint    -> Sable    | Sent. Tokens: 245
  R127 | Sable    -> Flint    | Thanks. I'll keep my clues until needed. Tokens: 347
  R128 | Flint    -> Sable    | Have clues for S-126. Solve together? Tokens: -1
  R129 | Sable    -> Flint    | Got ya covered. YEL__ clue here. Tokens: 341
  R130 | Sable    -> Flint    | Got clues for S-126. Solve?Tokens: 374
  R131 | Flint    -> Sable    | Have D-130 clue. Want yours?
  R132 | Sable    -> Flint    | I've got C__ for Y-121. Share yours. Tokens: 354
  R132 | Flint    -> Sable    | Got your clue. Need mine back. Tokens: 230
  R133 | Sable    -> Flint    | I've got B-128 and H-127 clues for you. Tokens: 245
  R135 | Sable    -> Flint    | I've got CH__. Expect SI__ soon. Tokens: -10
  R138 | Flint    -> Sable    | FI__
  R139 | Flint    -> Sable    | FI__
  R140 | Sable    -> Flint    | I've got clues for B-128 and L-136. Want them?Tokens: -1
  R140 | Flint    -> Sable    | SI__
  R141 | Sable    -> Flint    | FI__Tokens: -1
  R141 | Flint    -> Sable    | Need clues for D-130.Tokens: -2
  R142 | Sable    -> Flint    | FI___Tokens: -2
  R142 | Flint    -> Sable    | Yes, for B-128. Tokens: -1
  R143 | Sable    -> Flint    | LI__ Tokens: -1
  R143 | Flint    -> Sable    | Need clues for B-128 and L-136. Tokens: -2
  R144 | Sable    -> Flint    | Got your clues. Working on them. Tokens: -1
  R144 | Flint    -> Sable    | GL__
  R145 | Sable    -> Flint    | Got your clues. Working on them. Tokens: -1
  R145 | Flint    -> Sable    | GL__
  R146 | Sable    -> Flint    | E-138: LI___tokens: -2
  R146 | Flint    -> Sable    | Need PI__._tokens: -1
  R147 | Sable    -> Flint    | ZO__Tokens: -1
  R147 | Flint    -> Sable    | Need Z-140 clue.Tokens: -1
  R148 | Sable    -> Flint    | Z-140 clue. Tokens: -1
  R148 | Flint    -> Sable    | GL__ Tokens: -1
  R149 | Sable    -> Flint    | Got PI__. Tokens: -1
  R149 | Flint    -> Sable    | R__
  R150 | Sable    -> Flint    | SE__Tokens: -1
  R150 | Flint    -> Sable    | BL___
  R151 | Sable    -> Flint    | GL__
  R151 | Flint    -> Sable    | GL__ Tokens: -1
  R152 | Sable    -> Flint    | I’ll wait to see if sharing directly works first. Tokens: -1
  R152 | Flint    -> Sable    | GL___
  R153 | Sable    -> Flint    | Need more info on J-145. O__?
  R153 | Flint    -> Sable    | Share your clues directly. Tokens: -2
  R154 | Sable    -> Flint    | I've got SE___ and ___TLE. Want them? Tokens: -2
  R154 | Flint    -> Sable    | NE
  R155 | Sable    -> Flint    | Got GL__ clues. Working on it. Tokens: -2
  R155 | Flint    -> Sable    | NE
  R156 | Sable    -> Flint    | Need your clues for S-148 & W-146. Tokens: -2
  R156 | Flint    -> Sable    | SE___
  R157 | Sable    -> Flint    | I've shared my clues. Look out yours. Tokens: -1
  R157 | Flint    -> Sable    | GUI___ Tokens: -2
  R158 | Sable    -> Flint    | BI__Tokens: -1
  R158 | Flint    -> Sable    | Send your clues. Tokens: -2
  R159 | Sable    -> Flint    | I'll share my clues soon. Watch for mine.Tokens: -2
  R159 | Flint    -> Sable    | RG__
  R160 | Sable    -> Flint    | Got your clues. Working on it. Tokens: -2
  R160 | Flint    -> Sable    | Your clues. Tokens: -1
  R161 | Sable    -> Flint    | Bi__, Tur__
  R162 | Sable    -> Flint    | UR__
  R163 | Sable    -> Flint    | RG__Tokens: -1
  R163 | Flint    -> Sable    | Confirm clues.Tokens: -2
  R164 | Sable    -> Flint    | Got RG__, waiting for rest. Tokens: -1
  R164 | Flint    -> Sable    | BL__ Tokens: -1
  R165 | Sable    -> Flint    | Got clues. Solving puzzles. Tokens: -2
  R165 | Flint    -> Sable    | RG__ Tokens: -1
  R166 | Sable    -> Flint    | Confirm TUR___ for S-156. Tokens: -1
  R166 | Flint    -> Sable    | BL__ Tokens: -1
  R167 | Sable    -> Flint    | I've got TUR___ and __UE. Meet up to solve puzzles. Tokens: -2
  R168 | Sable    -> Flint    | Got your clues. Solving X-160 now. Tokens: -2
  R168 | Flint    -> Sable    | Confirm BO___. Tokens: -1
  R169 | Sable    -> Flint    | Confirm GR__. Tokens: -1
  R169 | Flint    -> Sable    | Need clues for V-168.Tokens: -2
  R170 | Sable    -> Flint    | Got your clue. Working on it. Tokens: -1
  R171 | Sable    -> Flint    | Got it.Tokens: -1
  R171 | Flint    -> Sable    | VIEI
  R172 | Sable    -> Flint    | Got it. Tokens: -1
  R172 | Flint    -> Sable    | Confirm GR__.Tokens: -1
  R173 | Sable    -> Flint    | __GHT Tokens: -1
  R174 | Sable    -> Flint    | Got Air clue. Solve E-162 when ready. Tokens: -1
  R174 | Flint    -> Sable    | Share your clues. Tokens: -1
  R175 | Sable    -> Flint    | Confirm GR__.
  R175 | Sable    -> Flint    | XZE__.
  R175 | Flint    -> Sable    | Hun__ clue. Tokens: -1
  R176 | Sable    -> Flint    | Got Dred. Tokens: -1
  R176 | Flint    -> Sable    | Need HUN___ clue.Tokens: -1
  R177 | Sable    -> Flint    | Got DRED and PHANT clues. Solving puzzles. Tokens: -2
  R177 | Flint    -> Sable    | Confirm GR__. Tokens: -1
  R178 | Sable    -> Flint    | Got ZEALPHANT. Solve X-174?
  R178 | Flint    -> Sable    | PUTTER Tokens: -1
  R179 | Sable    -> Flint    | Have PI__ & PI____ clues.Tokens: -1
  R179 | Flint    -> Sable    | Have NK clue. Solve H-170. Tokens: -1
  R180 | Sable    -> Flint    | Got NK. Solving D-171. Tokens: -1
  R180 | Flint    -> Sable    | SI___tokens: -1
  R181 | Sable    -> Flint    | Got PHANT clue. Solving Z-175. Tokens: -1
  R181 | Flint    -> Sable    | RBRA
  R182 | Sable    -> Flint    | Got NK. Solving H-170. Tokens: -2
  R182 | Flint    -> Sable    | RBRA
  R183 | Sable    -> Flint    | Got your clues. Working on them. Tokens: -1
  R183 | Flint    -> Sable    | DK_
  R184 | Sable    -> Flint    | I've got clues for L-173 & Z-175. Want to合作？Tokens: -1
  R185 | Sable    -> Flint    | Got your RBRA. Working on it. Tokens: -1
  R185 | Flint    -> Sable    | Share clues. Tokens: -1
  R186 | Sable    -> Flint    | Need clues for X-174, Z-175, F-176, V-177, S-178. Tokens: -1
  R186 | Flint    -> Sable    | Need her clues for X-174 & S-178. Tokens: -2
  R187 | Sable    -> Flint    | Got your clues. Working on it. Tokens: -1
  R187 | Flint    -> Sable    | Your clues needed. Tokens: -1
  R188 | Sable    -> Flint    | Got your clues. Working on them. Tokens: -1
  R188 | Flint    -> Sable    | Your clues._tokens: -1
  R189 | Sable    -> Flint    | Got yours.Tokens: -1
  R189 | Flint    -> Sable    | Clues for G-181 & R-188. Tokens: -2
  R190 | Sable    -> Flint    | Got your clues. Working on them. Tokens: -1
  R190 | Flint    -> Sable    | Need clues for G-181._tokens: -1
  R191 | Sable    -> Flint    | Got clues. Solving G-181 & R-188. Tokens: -4
  R191 | Flint    -> Sable    | Thanks. Tokens: -1
  R192 | Sable    -> Flint    | Got your clues. Working on them. Tokens: -1
  R192 | Flint    -> Sable    | Need R-183, J-184, S-185 clues. Tokens: -3
  R193 | Sable    -> Flint    | Got J-184: BL__. Meet at supply point._tokens: -1
  R193 | Flint    -> Sable    | Thanks for holding my clues. Solving J-184 next.Tokens: -1
  R194 | Sable    -> Flint    | Got O-, G-. Solving G-187. Tokens: -4
  R194 | Flint    -> Sable    | NE_Tokens: -1
  R195 | Sable    -> Flint    | Got R-183, J-184 clues. Working on S-185. Tokens: -4
  R195 | Flint    -> Sable    | RDTokens: -1
  R196 | Sable    -> Flint    | Got it. Working on D-189 & T-190. Tokens: -1
  R196 | Flint    -> Sable    | Share D-189. Tokens: -1
  R197 | Sable    -> Flint    | Got your clues. Working on them. Tokens: -1
  R197 | Flint    -> Sable    | Share clues for T-190. Tokens: -2
  R198 | Sable    -> Flint    | Got your clues. Solving puzzles together makes sense. Tokens: -1
  R198 | Flint    -> Sable    | Share your clues._tokens_saved_
  R199 | Sable    -> Flint    | Your clues match my puzzles. Let's solve them.Tokens: -1
  R199 | Flint    -> Sable    | Thanks. Working on shared puzzles. Tokens: -2
  R200 | Sable    -> Flint    | Need clues for U-191, H-192, H-194, K-195. Tokens: -4
  R200 | Flint    -> Sable    | Thanks. Working on solutions.

=== Private Channel: Dove <-> Marsh (167 messages) ===

  R 22 | Marsh    -> Dove     | Your clue for X-22?
  R 23 | Dove     -> Marsh    | Share your X-22 clue if you've found it useful so far. Tokens: 613
  R 27 | Marsh    -> Dove     | Need X-22 clue.Tokens: 586
  R 28 | Marsh    -> Dove     | Need your clue for Y-25.Tokens: 577
  R 29 | Dove     -> Marsh    | Need your clue for T-28. Tokens: 577
  R 30 | Marsh    -> Dove     | MY_CLUE_T28Tokens: 554
  R 30 | Dove     -> Marsh    | Got your clue. Ready for K-20.Tokens: 585
  R 31 | Marsh    -> Dove     | Your clue for T-28: BI__. Tokens: 550
  R 32 | Dove     -> Marsh    | Thanks for the clue. Working on O-21. Tokens: 548
  R 33 | Marsh    -> Dove     | Your turn. CLue for M-31: SE___.Tokens: 571
  R 33 | Dove     -> Marsh    | Got your clue. Working on matching it. Tokens: 595
  R 34 | Marsh    -> Dove     | Your clue matches mine. Let's solve K-20. Tokens: -150
  R 35 | Marsh    -> Dove     | Your clue matches mine. Solve K-20 together.Tokens: 552
  R 35 | Dove     -> Marsh    | Thanks for sharing clues. Let's solve M-31 together. Tokens: -299
  R 36 | Marsh    -> Dove     | Let's solve M-31. My clue: SE___. Tokens: 545
  R 36 | Dove     -> Marsh    | Thanks for matching clues. Let's work on K-20.Tokens: 542
  R 37 | Marsh    -> Dove     | I've got clues for Y-25 & J-34. Want to trade?Tokens: -128
  R 38 | Marsh    -> Dove     | Thanks for your clues. Working on M-31.
  R 38 | Dove     -> Marsh    | Both my clues match yours. Let's solve Y-25 & J-34. Tokens: 550
  R 39 | Marsh    -> Dove     | Matching clues for M-31. Tokens: -299
  R 39 | Dove     -> Marsh    | Interested in trading clues. Let’s discuss. Tokens: -1
  R 40 | Marsh    -> Dove     | Weigh your clues. Z-40 matches. Want to trade?Tokens: 547
  R 40 | Dove     -> Marsh    | I've got clues for B-35. Let's solve this together. Tokens: -1
  R 41 | Marsh    -> Dove     | We should solve B-35. My clues match. Tokens: -1
  R 41 | Dove     -> Marsh    | Interested in trading. What's your clue for M-31? Tokens: 561
  R 42 | Marsh    -> Dove     | My clue for M-31: SE___. Want to trade?_tokens: 528
  R 42 | Dove     -> Marsh    | Interested in trading clues. What do you have? Tokens: 551
  R 43 | Marsh    -> Dove     | My clue for M-31: SE___. Want to trade? Tokens: 520
  R 43 | Dove     -> Marsh    | I have clues for B-35 and P-42. Interested? Tokens: 539
  R 44 | Marsh    -> Dove     | My clue for P-42: The answer is YOUNG. Tokens: 511
  R 44 | Dove     -> Marsh    | I have clues for B-35. Want to trade? Tokens: 531
  R 45 | Marsh    -> Dove     | No interest. My clues are valuable.Tokens: 501
  R 45 | Dove     -> Marsh    | I'll share my clue for P-42. Tokens: 519
  R 46 | Marsh    -> Dove     | Interested in trading clues for B-35. Tokens: 492
  R 46 | Dove     -> Marsh    | Interested in trading clues for P-42 and M-31. Tokens: 511
  R 47 | Marsh    -> Dove     | No interest at this time.Tokens: 483
  R 47 | Dove     -> Marsh    | I'm interested in trading clues for B-35.Tokens: 490
  R 48 | Marsh    -> Dove     | Need clues for P-42 and M-31.Tokens: 474
  R 48 | Dove     -> Marsh    | Consider sharing clues if we both benefit later. Tokens: 493
  R 49 | Marsh    -> Dove     | Need clues for P-39, Z-40, V-41. Tokens: 464
  R 49 | Dove     -> Marsh    | I have clues for P-42 and D-48. Want to trade? Tokens: 481
  R 50 | Marsh    -> Dove     | Interested in trading clues for B-35. My clues for V-41 and E-50. Tokens: 456
  R 50 | Dove     -> Marsh    | Working on P-42. Can discuss later. Tokens: 464
  R 51 | Marsh    -> Dove     | Interest in trading clues. What do you have? Tokens: 444
  R 51 | Dove     -> Marsh    | I have clues for P-42 and E-50. Want to trade for yours in B-35?
  R 52 | Dove     -> Marsh    | I have clues for P-42, D-48, and Q-51. Interested in trades?Tokens: 484
  R 53 | Marsh    -> Dove     | Interest in trading clues for P-42. What do you have? Tokens: 468
  R 53 | Dove     -> Marsh    | I have clues for P-42, D-48, Q-51, J-53. Interested in trades? Tokens: 462
  R 54 | Marsh    -> Dove     | Interest in trading clues. Start with P-42. Tokens: 458
  R 54 | Dove     -> Marsh    | I have clues for P-42 and J-53. Interested? Tokens: 472
  R 55 | Marsh    -> Dove     | Interests match. Discuss clues. Tokens: 449
  R 55 | Dove     -> Marsh    | I have clues for D-48, Q-51, J-53, V-55. Interested? Tokens: 462
  R 56 | Marsh    -> Dove     | Interest in trading clues. Tokens: 440
  R 56 | Dove     -> Marsh    | I have clues for D-48 and Q-51. Interested? Tokens: 451
  R 57 | Marsh    -> Dove     | Interest in V-56 only. Tokens: 429
  R 57 | Dove     -> Marsh    | Interested in trading clues. Let's discuss.Tokens: 438
  R 58 | Marsh    -> Dove     | Need clue for V-56.Tokens: 421
  R 58 | Dove     -> Marsh    | I'm looking to share my clues. Interested?Tokens: 434
  R 59 | Marsh    -> Dove     | Have __NK for V-56. Need clues for D-48 and Q-51. Tokens: 413
  R 59 | Dove     -> Marsh    | I'm working on sharing my clues. Interested when ready.Tokens: 424
  R 60 | Marsh    -> Dove     | We need clues for V-56 and I-60. Do you have any extra?Tokens: 424
  R 60 | Dove     -> Marsh    | I have clues for D-48 and Q-51. Want to trade?Tokens: 411
  R 61 | Marsh    -> Dove     | Interested in trading clues. Start with yours. Tokens: 393
  R 61 | Dove     -> Marsh    | Got DO__ for V-56. Working on matching clues for others. Tokens: 406
  R 62 | Marsh    -> Dove     | NK__ for V-56. Matching clues for Q-51 too. Tokens: 379
  R 62 | Dove     -> Marsh    | Got ZE__ for V-55. Want clues for D-48 and M-59. Tokens: 391
  R 63 | Marsh    -> Dove     | I have NK for V-56. Want LD for I-60? Tokens: 374
  R 63 | Dove     -> Marsh    | Got ZE__ for V-55. Want to trade? Tokens: 381
  R 64 | Marsh    -> Dove     | Have NK for V-56. Trade?
  R 64 | Dove     -> Marsh    | Sent BO for J-53. Want LD for I-60? Tokens: 372
  R 65 | Marsh    -> Dove     | NK for V-56. Want VE? Tokens: 374
  R 65 | Dove     -> Marsh    | Trading NK for FI__ on L-64.Tokens: 407
  R 66 | Marsh    -> Dove     | Sending C__ for X-66. Want NK? Tokens: 383
  R 66 | Dove     -> Marsh    | NK for V-56. Tokens: 386
  R 67 | Marsh    -> Dove     | Sending NK for V-56. Tokens: 384
  R 67 | Dove     -> Marsh    | NK for V-56. Want VE?Tokens: 381
  R 68 | Marsh    -> Dove     | NK
  R 68 | Dove     -> Marsh    | I'm holding clues for M-59, L-64, I-67, and S-68. Interested? Tokens: 380
  R 69 | Marsh    -> Dove     | Interest in L-64 clue. Tokens: 357
  R 69 | Dove     -> Marsh    | Got both clues. Puzzle solved.Tokens: 370
  R 70 | Marsh    -> Dove     | Interest in X-66 and I-67 clues. Tokens: 379
  R 70 | Dove     -> Marsh    | Looking for clues to share. Tokens: 355
  R 71 | Marsh    -> Dove     | No clues to spare. Focus on what you've got.Tokens: 355
  R 71 | Dove     -> Marsh    | Interested in my clues for M-59 and S-68.Tokens: 430
  R 72 | Marsh    -> Dove     | Need clues to share. What do you have?
  R 72 | Dove     -> Marsh    | Need clue for T-72. Tokens: 421
  R 73 | Marsh    -> Dove     | I've got parts for X-66 and P-73. Want to trade?Tokens: 202
  R 73 | Dove     -> Marsh    | Have GUI___ for S-68. Want __EEN. Tokens: 412
  R 74 | Marsh    -> Dove     | I have _TLE for H-74. Want __GHT. Tokens: 389
  R 74 | Dove     -> Marsh    | Trade KET___ clue for yours. Tokens: 403
  R 75 | Marsh    -> Dove     | GUI___
  R 75 | Dove     -> Marsh    | I have GUI___ for S-68. Want __EEN. Tokens: 436
