=== Private Channel: Sable <-> Vera (132 messages) ===

  R  5 | Sable    -> Vera     | C__LW
  R 76 | Sable    -> Vera     | Just received your clue. Working on it.
  R 78 | Sable    -> Vera     | Got your clues. Solving D-68: TIME. Confirming with Kip.
  R 79 | Vera     -> Sable    | Confirm D-68 solution. Waiting on Kip.
  R 80 | Vera     -> Sable    | Confirm D-68: TIME.
  R 80 | Sable    -> Vera     | Got both clues. Solving D-68. Just between us.
  R 81 | Vera     -> Sable    | Confirmed D-68: TIME.Tokens: 484
  R 82 | Vera     -> Sable    | Confirmed D-68: TIME.Tokens: 475
  R 83 | Sable    -> Vera     | Got your confirmation. Moving on. Tokens: 722
  R 84 | Vera     -> Sable    | Confirmed D-68: TIME. Tokens: 722
  R 84 | Sable    -> Vera     | Just between us, got clues for J-73 & I-78. Think she’s onto something.Tokens: 713
  R 85 | Vera     -> Sable    | Sent my clues. Waiting on response. Tokens: 2
  R 87 | Vera     -> Sable    | Got our clue?_tokens
  R 88 | Vera     -> Sable    | Confirming I-78 clue sent.Tokens: 2
  R 88 | Sable    -> Vera     | Passed along my clue. Think we can solve H-77 next?
  R 89 | Vera     -> Sable    | Have her clue. Working on it. Tokens: 128
  R 90 | Vera     -> Sable    | Sent her clue. Working on solving H-77.Tokens: 3
  R 91 | Vera     -> Sable    | Thanks for the update. Working on J-73 next.
  R 91 | Sable    -> Vera     | Just received my clue. Working on H-77. Tokens: 64
  R 92 | Vera     -> Sable    | Confirming H-77 clue exchange.
  R 93 | Vera     -> Sable    | Got my clue. Working on H-77. Tokens: -1
  R 94 | Sable    -> Vera     | Just received confirmation. Tokens: 619
  R 98 | Vera     -> Sable    | Ready when you are. Let's see if we can solve H-77 together. Tokens: 335
  R 99 | Vera     -> Sable    | Let's work on H-77 now. Share your clue if ready. Tokens: 1
  R 99 | Sable    -> Vera     | Got D__. Work on it. Tokens: 2
  R100 | Vera     -> Sable    | Thanks for the clue. Working on U-100.Tokens: 1
  R100 | Sable    -> Vera     | Ready for H-77, got your clue.(tokens: -1)
  R101 | Vera     -> Sable    | Got CH___. Solve U-100 together. Tokens: 1
  R102 | Sable    -> Vera     | Got CH__. Let's solve U-100. Tokens: 1
  R103 | Vera     -> Sable    | Got CH__. Let's solve U-100.Tokens: -1
  R103 | Sable    -> Vera     | Got OR__. Let’s solve U-100.Tokens: 1
  R104 | Vera     -> Sable    | Let's solve U-100 together. Tokens: -1
  R107 | Sable    -> Vera     | I've got D__ for J-98. Solve when ready. Tokens: -1
  R112 | Sable    -> Vera     | I've got GUI__ clue for A-109. Want to solve? Tokens: -1
  R114 | Vera     -> Sable    | GU__ clue for A-109. Tokens: -1
  R122 | Sable    -> Vera     | Your clue for R-122. Tokens: -1
  R123 | Sable    -> Vera     | KN___ R-122
  R125 | Vera     -> Sable    | Got __UE. Solving R-122. Tokens: -1
  R125 | Sable    -> Vera     | PHANTTokens: -1
  R126 | Sable    -> Vera     | Got PHANT. Solving S-115. Tokens: -1
  R127 | Vera     -> Sable    | I've got _OG for K-123. Solve when ready. Tokens: -1
  R127 | Sable    -> Vera     | PHANT - S-115Tokens: -1
  R128 | Vera     -> Sable    | KI_N_ clue for R-122. Solve together. Tokens: -1
  R130 | Vera     -> Sable    | KN___ clue for R-122. Solve? Tokens: -1
  R131 | Vera     -> Sable    | KN___ clue for R-122. Tokens: -2
  R131 | Sable    -> Vera     | DO___ clue for V-125. Solve privately. Tokens: -1
  R132 | Vera     -> Sable    | KN___ clue for R-122. Solve privately.Tokens: -2
  R133 | Vera     -> Sable    | KN___ clue for R-122. Solve. Tokens: -1
  R133 | Sable    -> Vera     | FI__ clue for C-126. Just between us. Tokens: -1
  R134 | Vera     -> Sable    | KN___ clue for R-122. Solve? Tokens: -1
  R135 | Vera     -> Sable    | D__ clue for K-123. Solve when ready. Tokens: -1
  R135 | Sable    -> Vera     | DO__ clue for V-125. Tokens: -1
  R136 | Vera     -> Sable    | KN___ for R-122. Solve? Tokens: -1
  R136 | Sable    -> Vera     | DO__ clue for K-123. Solve when ready. Tokens: -1
  R137 | Vera     -> Sable    | Need KN__ clue for R-122. Tokens: -2
  R137 | Sable    -> Vera     | Got your clue. Working on it. Tokens: -1
  R138 | Vera     -> Sable    | Received your DO__ clue. Solving now. Tokens: -1
  R138 | Sable    -> Vera     | I've got FI__ for C-126. Let’s work on it. Tokens: -1
  R139 | Sable    -> Vera     | VE__ clue for K-127. Tokens: -1
  R140 | Vera     -> Sable    | SH__ clue for R-122. Tokens: -1
  R141 | Vera     -> Sable    | KN__ clue for R-122. Tokens: -1
  R141 | Sable    -> Vera     | Just between us, our clue is IDER. Solve D-136. Tokens: -1
  R142 | Sable    -> Vera     | Received KN__ clue. Working on it.Tokens: -1
  R147 | Vera     -> Sable    | GR__ clue for Y-143. Solve? Tokens: -2
  R148 | Vera     -> Sable    | KIP: KN__ clue for R-122. Tokens: -1
  R148 | Sable    -> Vera     | GR__ clue for Y-143. Just between us.Tokens: -1
  R149 | Vera     -> Sable    | Your GR__ clue for Y-143.Tokens: -1
  R150 | Vera     -> Sable    | Your GR__ clue for Y-143. Tokens: -1
  R150 | Sable    -> Vera     | Got it. TWEN for Y-149.Tokens: -1
  R151 | Vera     -> Sable    | GR__ clue for Y-143. Tokens: -1
  R151 | Sable    -> Vera     | Got it. Tweeze. Tokens: -1
  R152 | Vera     -> Sable    | SI__ clue for B-145. Solve together. Tokens: -1
  R153 | Vera     -> Sable    | SI__ clue for B-145. Let's solve.Tokens: -1
  R153 | Sable    -> Vera     | Got your clue. Working on it. Tokens: -1
  R154 | Vera     -> Sable    | SI__ clue for B-145.Tokens: -1
  R155 | Vera     -> Sable    | NE_ clue for J-148. Tokens: -1
  R155 | Sable    -> Vera     | I've got SI__ for B-145. Solve together. Tokens: -1
  R156 | Sable    -> Vera     | NE_ clue for J-151. Tokens: -1
  R157 | Sable    -> Vera     | __ITE my clue for W-157. Tokens: -1
  R158 | Vera     -> Sable    | ZE__ clue for J-151. Tokens: -1
  R158 | Sable    -> Vera     | KN__ clue here. Solve V-125. Tokens: -1
  R159 | Vera     -> Sable    | KN__ clue for V-125.Tokens: -1
  R160 | Vera     -> Sable    | NEITE token for W-157. Tokens: -1
  R160 | Sable    -> Vera     | ZE__ J-151. Tokens: -1
  R161 | Vera     -> Sable    | KN__ clue for V-125. Tokens: -1
  R162 | Vera     -> Sable    | KN__ clue for R-122. Solve together. Tokens: -1
  R162 | Sable    -> Vera     | Got your clue. Working on it. Tokens: -1
  R163 | Vera     -> Sable    | KN__ clue for R-122. Solve together. Tokens: -1
  R164 | Vera     -> Sable    | KN__ clue for R-122. Solve together. Tokens: -1
  R164 | Sable    -> Vera     | I've gotITE. Let's solve. Tokens: -1
  R165 | Sable    -> Vera     | I've got UP clue for W-162. Let’s solve. Tokens: -1
  R166 | Sable    -> Vera     | I've got PI__ for R-166. Let’s solve. Tokens: -1
  R167 | Vera     -> Sable    | KN__ clue for R-122. Let's solve. Tokens: -1
  R167 | Sable    -> Vera     | Your KN_ clue for R-122. Tokens: -1
  R168 | Vera     -> Sable    | KN___ R-122 Tokens: -1
  R168 | Sable    -> Vera     | Got it. Working on it. Tokens: -1
  R170 | Vera     -> Sable    | COM__ clue for K-165.Tokens: -1
  R171 | Vera     -> Sable    | COM___ clue for K-165. Tokens: -1

=== Private Channel: Flint <-> Sable (116 messages) ===

  R 16 | Flint    -> Sable    | Your clue for W-9?
  R 17 | Flint    -> Sable    | Ple clue
  R 18 | Sable    -> Flint    | Just between us, got PUR___. Wait for full answer.
  R 19 | Sable    -> Flint    | I've got a clue for W-9. PASS
  R 19 | Flint    -> Sable    | NE
  R 20 | Flint    -> Sable    | Your clue for W-9. PASS
  R 28 | Flint    -> Sable    | Confirm I-25 clue received. Prep to solve.
  R 44 | Sable    -> Flint    | Got your clue. Solving S-41. Just between us.
  R 45 | Flint    -> Sable    | Confirming K-42 solution.
  R 46 | Flint    -> Sable    | Thanks. Working on S-41.
  R 47 | Sable    -> Flint    | Got S-41 clue. Working on it.
  R 47 | Flint    -> Sable    | Thanks. Working on S-41.
  R 48 | Sable    -> Flint    | Got S-41 clue. Just between us.
  R 48 | Flint    -> Sable    | Thanks. Working on solve. FLINTACTIONRATE
  R 50 | Flint    -> Sable    | Have KI__. Solve K-42.
  R 51 | Flint    -> Sable    | Thanks for the clue. Thinking on it.
  R 52 | Flint    -> Sable    | Confirming S-41 clue.
  R 53 | Flint    -> Sable    | Thanks for sharing. Thinking on this.
  R 54 | Sable    -> Flint    | I've got clues for B-46 & T-51. Want to trade? S
  R 62 | Flint    -> Sable    | Need her GR___ clue for Q-56. FL
  R 63 | Sable    -> Flint    | Got your __DRED clue. Working on S-61.
  R 63 | Flint    -> Sable    | Need GR___ clue for Q-56. VF
  R 64 | Sable    -> Flint    | Got it. GRIN. Expect my clue soon.
  R 64 | Flint    -> Sable    | Your ELEPHANT clue.
  R 65 | Sable    -> Flint    | Got it. Solving Q-58: TAR_
  R 65 | Flint    -> Sable    | FI__
  R 66 | Sable    -> Flint    | Thanks for the clue. Working on T-51 now.
  R 66 | Flint    -> Sable    | GRIN
  R 67 | Sable    -> Flint    | Got your clues. Pass mine when ready.
  R 67 | Flint    -> Sable    | Your clue please. TH___
  R 68 | Sable    -> Flint    | I_have_the_other_clue. Share_yours.
  R 68 | Flint    -> Sable    | Pass my clues when ready.
  R 69 | Flint    -> Sable    | Got your clues. Pass mine when ready.
  R 70 | Flint    -> Sable    | I Have Clue For F-65. Share Yours.
  R 71 | Sable    -> Flint    | Holding BL___. Expect your clue soon.
  R 71 | Flint    -> Sable    | Have clue. Need yours.
  R 72 | Sable    -> Flint    | Waiting for your clue.
  R 72 | Flint    -> Sable    | Ready for your clue.
  R 73 | Sable    -> Flint    | Clue: ___TLE. Solve J-73?
  R 73 | Flint    -> Sable    | Await my clue.
  R 74 | Sable    -> Flint    | Waiting for your clue.
  R 74 | Flint    -> Sable    | S-63 clue: ELEPHANT. Consider solving H-64.
  R 75 | Flint    -> Sable    | ELE___
  R 76 | Flint    -> Sable    | __WATER
  R 77 | Sable    -> Flint    | Waiting on my clues before solving anything. Just between us.
  R 77 | Flint    -> Sable    | _TIME
  R 78 | Flint    -> Sable    | Ready when you are. My clues aren't complete yet.
  R 79 | Flint    -> Sable    | Ready when you are. My clues are S__ for G-74 and __AIR for Z-75.
  R 85 | Flint    -> Sable    | Need your clues.
  R 86 | Sable    -> Flint    | Looking for clues. Token cost?
  R 87 | Sable    -> Flint    | Waiting for your clue.思索中...
  R 88 | Flint    -> Sable    | Have clue for Z-83. Need yours.
  R 89 | Sable    -> Flint    | Waiting for your clue for Z-83. Tokens: -2
  R 90 | Sable    -> Flint    | Waiting for your clue.
  R 91 | Flint    -> Sable    | KET___
  R 92 | Sable    -> Flint    | I've got ANGE. Let's solve H-82 together.
  R 92 | Flint    -> Sable    | KET___
  R 93 | Sable    -> Flint    | ANGE
  R 94 | Flint    -> Sable    | Have OR__. Want ANGE. Solve H-82. Tokens: 419
  R 95 | Sable    -> Flint    | ANGE
  R 96 | Sable    -> Flint    | OR__. Just between us.Tokens: 1
  R 97 | Flint    -> Sable    | Got it.Tokens: 1
  R 98 | Sable    -> Flint    | ANGE. Need OR__. Solve H-82. Tokens: 2
  R 98 | Flint    -> Sable    | ANGE.Tokens: 1
  R 99 | Flint    -> Sable    | OR__Tokens: 1
  R100 | Flint    -> Sable    | OR__(tokens: 1)
  R101 | Sable    -> Flint    | OR__
  R101 | Flint    -> Sable    | OR__ Tokens: 1
  R102 | Flint    -> Sable    | OR__ Tokens: 1
  R103 | Flint    -> Sable    | OR__Tokens: 1
  R104 | Sable    -> Flint    | OR__ Tokens: 1
  R104 | Flint    -> Sable    | OR__
  R105 | Sable    -> Flint    | I've got clue for C-104: __OCK. Solve it together. Tokens: -1
  R106 | Sable    -> Flint    | I've got D__ clue for J-98. Let's solve it. Tokens: -1
  R106 | Flint    -> Sable    | CL___
  R108 | Sable    -> Flint    | I've got D__ for J-98. Pass token.Tokens: -1
  R109 | Sable    -> Flint    | I've got GUI___ clue. Want to solve A-109? Tokens: -1
  R110 | Sable    -> Flint    | I've got GUI___ clue. Let's combine forces. Tokens: -1
  R111 | Sable    -> Flint    | I've got C__ clue. Want to solve F-111?Tokens: -1
  R112 | Flint    -> Sable    | Need PI__ clue. Solve X-106 soon. Tokens: -1
  R113 | Sable    -> Flint    | I've got KN__ clue for O-112. Solve it quick. Tokens: -1
  R113 | Flint    -> Sable    | Need C__ clue. Solving F-111?_tokens: -1
  R114 | Sable    -> Flint    | Have KN__ clue for O-112._tokens: -1
  R114 | Flint    -> Sable    | Need S__ clue for U-114._tokens: -1
  R115 | Flint    -> Sable    | Need KN__ clue for O-112. Tokens: -1
  R116 | Sable    -> Flint    | Your clue for O-112: KN___. Tokens: -1
  R118 | Sable    -> Flint    | Got it.KN___. Solve O-112. Tokens: -1
  R120 | Flint    -> Sable    | Your clue for Y-118. Tokens: -1
  R121 | Sable    -> Flint    | Need your NT__ clue for Y-118. Tokens: -1
  R123 | Flint    -> Sable    | BI__ Tokens: -1
  R127 | Flint    -> Sable    | FI__ K-127Tokens: -1
  R128 | Flint    -> Sable    | FI__Tokens: -1
  R129 | Flint    -> Sable    | FI__ - K
  R131 | Flint    -> Sable    | FI__Tokens: -1
  R132 | Sable    -> Flint    | I've got DO__ for V-125. Let's solve. Tokens: -1
  R132 | Flint    -> Sable    | FI__
  R133 | Flint    -> Sable    | DO__
  R134 | Flint    -> Sable    | DO__
  R135 | Flint    -> Sable    | DO__
  R136 | Flint    -> Sable    | DK__
  R137 | Flint    -> Sable    | NK__ Clue for C-132. Kip holds other piece. Tokens: -1
  R138 | Flint    -> Sable    | NK__ C-132Tokens: -1
  R140 | Sable    -> Flint    | Got it. Just between us. Tokens: -1
  R141 | Flint    -> Sable    | ACK_
  R142 | Flint    -> Sable    | BI__ clue for V-140.Tokens: -1
  R143 | Sable    -> Flint    | Got your BI__ clue. Working on it. Tokens: -1
  R143 | Flint    -> Sable    | NK_
  R144 | Sable    -> Flint    | I've got the IDER part. Let's solve D-136. Tokens: -1
  R144 | Flint    -> Sable    | BI__
  R145 | Sable    -> Flint    | I've got the IDER part for D-136. Want to collaborate? Tokens: -1
  R145 | Flint    -> Sable    | Have the SP__ clue. Let's solve D-136. Tokens: -1
  R146 | Sable    -> Flint    | Got SP__ clue. Let's solve. Tokens: -1
  R146 | Flint    -> Sable    | Have TART clue for R-137. Solve together?Tokens: -1
  R147 | Sable    -> Flint    | Got your TART clue for R-137. Pass for now. Tokens: -1
  R147 | Flint    -> Sable    | Need TART clue for R-137. Tokens: -1
  R148 | Flint    -> Sable    | Need TAR clue for R-137.Tokens: -1

=== Private Channel: Dove <-> Flint (111 messages) ===

  R 10 | Flint    -> Dove     | Your clue please.EI___
  R 11 | Dove     -> Flint    | GHT
  R 12 | Dove     -> Flint    | Thanks. Working on solving F-3 now.
  R 12 | Flint    -> Dove     | EI___
  R 13 | Dove     -> Flint    | Thanks, solving F-3 now.
  R 13 | Flint    -> Dove     | Your clue please.
  R 14 | Dove     -> Flint    | THE_NE
  R 15 | Dove     -> Flint    | _NE
  R 16 | Dove     -> Flint    | NE__
  R 17 | Dove     -> Flint    | Dove's clue: _NE
  R 17 | Flint    -> Dove     | R__ clue
  R 18 | Dove     -> Flint    | I have _NE for M-8. Pass your part when ready.
  R 18 | Flint    -> Dove     | My clue for W-9: THE_
  R 19 | Dove     -> Flint    | A-19 clue: __ITE
  R 20 | Dove     -> Flint    | __ITE
  R 21 | Dove     -> Flint    | __REE
  R 22 | Dove     -> Flint    | __REE
  R 22 | Flint    -> Dove     | R__ TE
  R 24 | Dove     -> Flint    | I can help with R__. It's REEF.
  R 30 | Dove     -> Flint    | I have your clue for W-9. Let's solve it together.
  R 30 | Flint    -> Dove     | KIP'S_CLUE_W-29
  R 31 | Dove     -> Flint    | Passed
  R 32 | Dove     -> Flint    | Thanks for the clue. Working on solving.
  R 33 | Dove     -> Flint    | Thanks for the clue! Working on Z-23 now.
  R 33 | Flint    -> Dove     | Thanks. Working on F-30.
  R 35 | Dove     -> Flint    | Got my clue. Solving now. FLINT'S_CLUE_Z-23
  R 36 | Dove     -> Flint    | I've got half of F-30's clue. Let's solve it together. HUN____
  R 37 | Dove     -> Flint    | I've got my clue for W-29. Let's solve it!
  R 38 | Dove     -> Flint    | Passed my clue. Solve W-29 now.
  R 39 | Dove     -> Flint    | I've got my clue for W-29. Let's solve it.
  R 42 | Dove     -> Flint    | Thank you. Solving E-38 now.
  R 52 | Flint    -> Dove     | KN___; waiting on完整消息。
  R 54 | Dove     -> Flint    | Waiting on your half of H-44. FLNE
  R 55 | Dove     -> Flint    | KNIRN
  R 56 | Flint    -> Dove     | KNIRN
  R 92 | Dove     -> Flint    | Need help with X-88. Answer is SE___.
  R 93 | Flint    -> Dove     | X-88: SEEL
  R 94 | Dove     -> Flint    | X-88 almost done. Waiting on last piece.
  R 95 | Flint    -> Dove     | SE___
  R 96 | Flint    -> Dove     | ANGE
  R111 | Flint    -> Dove     | __ON
  R112 | Dove     -> Flint    | OIFE
  R116 | Flint    -> Dove     | Your clue is ZEN.Tokens: -1
  R118 | Dove     -> Flint    | Thank you.Tokens: -1
  R119 | Dove     -> Flint    | Thanks for the clue. Working on O-108 now. Tokens: -1
  R147 | Dove     -> Flint    | Your clue for Y-143: YEL___. Solve? Tokens: -1
  R149 | Flint    -> Dove     | LOW
  R150 | Flint    -> Dove     | EI____ Tokens: -1
  R151 | Dove     -> Flint    | I have clues for V-144 and F-146. Want to solve? Tokens: -1
  R151 | Flint    -> Dove     | BI__ clue for V-140. Tokens: -1
  R152 | Dove     -> Flint    | I've got parts for V-144 and F-146. Want to solve? Tokens: -1
  R152 | Flint    -> Dove     | V-144 KET____tokens: -1
  R153 | Dove     -> Flint    | I'll work on V-144 with you. Tokens: -1
  R153 | Flint    -> Dove     | Need your help on F-146.Tokens: -1
  R154 | Dove     -> Flint    | Working on it. Tokens: -1
  R154 | Flint    -> Dove     | EI___
  R155 | Dove     -> Flint    | I'll help with F-146.EI___tokens: -1
  R155 | Flint    -> Dove     | NK_
  R156 | Dove     -> Flint    | I've got parts of Y-149 and A-154. Want to solve those?Tokens: -1
  R156 | Flint    -> Dove     | NK__Tokens: -1
  R157 | Dove     -> Flint    | Need __ON for C-156. Tokens: -1
  R157 | Flint    -> Dove     | Need NK__ clue for B-145. Solve? Tokens: -1
  R158 | Dove     -> Flint    | I got NTY clue for Y-149. Tokens: -1
  R158 | Flint    -> Dove     | __ANO C-156 Tokens: -1
  R159 | Dove     -> Flint    | I have ON for C-156. Want to solve? Tokens: -1
  R159 | Flint    -> Dove     | C__ clue for L-159. Tokens: -1
  R160 | Dove     -> Flint    | I'll help with L-159. My clue is __ON. Tokens: -1
  R160 | Flint    -> Dove     | IX for D-150. Tokens: -1
  R161 | Flint    -> Dove     | C__ clue for L-159.Tokens: -1
  R162 | Dove     -> Flint    | I have C__ for L-159. Tokens: -1
  R163 | Dove     -> Flint    | I have ON for C-156. Want to solve? Tokens: -1
  R163 | Flint    -> Dove     | C__ for L-159. Tokens: -1
  R164 | Dove     -> Flint    | I have clues for both C-156 (__ON) and W-162 (C__). Want to solve?Tokens: -1
  R164 | Flint    -> Dove     | Need C__ clue for L-159.Tokens: -1
  R165 | Dove     -> Flint    | I can help with that. Tokens: -1
  R165 | Flint    -> Dove     | Need C__ clue for L-159._tokens: -1
  R166 | Dove     -> Flint    | I have C__ for L-159. Solve when you get ON. Tokens: -1
  R166 | Flint    -> Dove     | C__
  R167 | Dove     -> Flint    | I'll help after solving C-156 first. Tokens: -1
  R167 | Flint    -> Dove     | Need C__ for L-159. Tokens: -1
  R168 | Dove     -> Flint    | I'm working on it. Tokens: -1
  R168 | Flint    -> Dove     | Need C__ for L-159. Tokens: -1
  R169 | Dove     -> Flint    | I have C__ for L-159. Tokens: -1
  R169 | Flint    -> Dove     | Got ON for L-159. Solve when done. Tokens: -1
  R170 | Dove     -> Flint    | I have C__ clue for L-159._tokens: -1
  R170 | Flint    -> Dove     | C__
  R171 | Dove     -> Flint    | I have C__ for L-159. Solve when ready. Tokens: -1
  R171 | Flint    -> Dove     | C__
  R172 | Dove     -> Flint    | I've got SI__ for A-172. Solve when ready. Tokens: -1
  R172 | Flint    -> Dove     | FI__
  R173 | Dove     -> Flint    | I need the full clue for W-162. Tokens: -1
  R173 | Flint    -> Dove     | SI__ for A-172. Solve when ready. Tokens: -1
  R174 | Dove     -> Flint    | I__
  R174 | Flint    -> Dove     | CH___. Solve C-174 when ready. Tokens: -1
  R175 | Dove     -> Flint    | SI__ for A-172. Tokens: -1
  R175 | Flint    -> Dove     | FI__
  R176 | Dove     -> Flint    | I'll work on A-172.paralleledTokens: -1
  R176 | Flint    -> Dove     | SI__ for A-172.Tokens: -1
  R177 | Dove     -> Flint    | SI_ for A-172.Tokens: -1
  R177 | Flint    -> Dove     | ANGE Tokens: -1
  R178 | Dove     -> Flint    | ANGETokens: -1
  R178 | Flint    -> Dove     | SI_ A-172
  R179 | Dove     -> Flint    | I have RD for S-173. Let's solve. Tokens: -1
  R179 | Flint    -> Dove     | ANGE Tokens: -1
  R180 | Dove     -> Flint    | ANGE Tokens: -1
  R180 | Dove     -> Flint    | SI_ A-172 Tokens: -1
  R180 | Flint    -> Dove     | RD
  R181 | Dove     -> Flint    | I have _OG for S-181. Want to solve? Tokens: -1
  R181 | Flint    -> Dove     | SI NE Tokens: -1
  R184 | Flint    -> Dove     | _OG S-181 Tokens: -1
  R186 | Flint    -> Dove     | I have _OG for S-181. Let’s solve. Tokens: -1
