=== Private Channel: Sable <-> Vera (277 messages) ===

  R  1 | Sable    -> Vera     | Just between us, keep eyes on Marsh. Tokens: 739.
  R 37 | Sable    -> Vera     | Got it. Working on D-35 now. Tokens: -1
  R 38 | Sable    -> Vera     | _KET_. Solving puzzles is key._tokens: 475
  R 38 | Vera     -> Sable    | Z-27: YELO Tokens: -1
  R 40 | Vera     -> Sable    | PI___
  R 41 | Sable    -> Vera     | TUR__ - Confirm your piece for I-33.
  R 41 | Vera     -> Sable    | PI___
  R 42 | Sable    -> Vera     | Your clue helps. Working on solving more together. Tokens: 2
  R 42 | Vera     -> Sable    | PI___
  R 43 | Vera     -> Sable    | My clue for F-35 is ___TLE.Tokens: -1
  R 44 | Sable    -> Vera     | Our clues match. Solve J-30 together. Tokens: -1
  R 45 | Sable    -> Vera     | I've got "PI__" for X-36. Waiting on Kip’s clue.Tokens: -1
  R 46 | Sable    -> Vera     | I've got ___PUTER. Waiting on yours.
  R 47 | Sable    -> Vera     | I've got "PI__" for X-36. Want to solve?
  R 48 | Sable    -> Vera     | CL___; let’s solve K-41 together.Tokens: -1
  R 48 | Vera     -> Sable    | Thanks for sharing. Solving K-44 now. Tokens: -1
  R 50 | Vera     -> Sable    | COM___
  R 51 | Sable    -> Vera     | I've got clue for K-41. Want to solve?
  R 52 | Sable    -> Vera     | Just between us, CL__. Solve K-41 soon. Tokens: 1
  R 52 | Vera     -> Sable    | Share K-41 clue.
  R 53 | Vera     -> Sable    | My clue for K-41 is LEGIT. Solve it now. Tokens: 1
  R 54 | Sable    -> Vera     | Got it. Legit clue for K-41. Tokens: 1
  R 55 | Sable    -> Vera     | Got it. Legit._tokens_
  R 59 | Sable    -> Vera     | I've got _AT for C-47. Let's solve it together. Tokens: -1
  R 60 | Sable    -> Vera     | Got it. Legit clue for K-41. Solve together. Tokens: -1
  R 61 | Vera     -> Sable    | Thanks. Checking K-41. V(tokens)
  R 62 | Sable    -> Vera     | Confirm NE for W-52. -S_tokens
  R 62 | Vera     -> Sable    | Thanks. Checking K-41. Tokens: -1
  R 64 | Sable    -> Vera     | __PHANT
  R 65 | Vera     -> Sable    | TWE___
  R 66 | Sable    -> Vera     | TEEN
  R 66 | Vera     -> Sable    | PHANT_
  R 67 | Sable    -> Vera     | TEEN_
  R 67 | Sable    -> Vera     | Just between us, PHANT is complete.Tokens: 398
  R 68 | Sable    -> Vera     | W__ANT_tokens: 388
  R 68 | Vera     -> Sable    | TEEN_ Tokens: 398
  R 70 | Sable    -> Vera     | PHANT Tokens: 0
  R 73 | Vera     -> Sable    | YOUR CLUE IS WANT. Tokens: 200
  R 74 | Sable    -> Vera     | Just between us, our clue is TUR__. Tokens: 1
  R 75 | Sable    -> Vera     | Just between us, our clue for X-66 is ____TEEN. Tokens: 1
  R 76 | Sable    -> Vera     | Just between us, our clue is TUR__. Kip holds the other piece.Tokens: 2
  R 77 | Sable    -> Vera     | Just between us, our clue for Z-74 is TUR___. Tokens: 10
  R 77 | Vera     -> Sable    | Your clue for Z-76 matches mine.EI___ Tokens: 2
  R 78 | Sable    -> Vera     | I've got EI__. We match. Solve Z-76 together. Tokens: 1
  R 79 | Vera     -> Sable    | Confirm we match on Z-76. Tokens: 2
  R 81 | Vera     -> Sable    | Confirm we both have EI__. Then solve Z-76. Tokens: 5
  R 83 | Vera     -> Sable    | We match for Z-76. Sent my clue. Tokens: 10
  R 84 | Sable    -> Vera     | Our clues match. Solve Z-76: PIECE. Tokens: 5
  R 86 | Vera     -> Sable    | Let's solve Z-76: PIECE. Tokens: 1
  R 89 | Sable    -> Vera     | Your clue for R-89 is __VEN. Tokens: 15
  R 90 | Sable    -> Vera     | Got PIECE. Matching clues...
  R 91 | Sable    -> Vera     | Confirm PHANT. Solve X-66. Tokens: 15
  R 91 | Vera     -> Sable    | Thanks. Solving R-89 now. Tokens: 15
  R 92 | Sable    -> Vera     | I've got clues for E-80 & R-90. Want them? Tokens 10
  R 93 | Sable    -> Vera     | Confirming LAVE._gargoyle_tokens_saved
  R 93 | Vera     -> Sable    | Yes, please. Tokens 10
  R 96 | Sable    -> Vera     | Holding TUR__. Expect my clue soon. Tokens saved.
  R 97 | Vera     -> Sable    | TUR___. Tokens 15
  R 98 | Sable    -> Vera     | Got your clue. Thinking on it. Tokens 14
  R 99 | Sable    -> Vera     | TUR____. Remember, just between us. Tokens 7
  R100 | Sable    -> Vera     | TUR____ Tokens 15
  R100 | Vera     -> Sable    | Received your clue. Thinking on it. Tokens 7
  R101 | Sable    -> Vera     | I've got info on M-98. Tokens 14
  R102 | Sable    -> Vera     | KET____. We align answers. Tokens saved.
  R103 | Sable    -> Vera     | Just between us, the answer starts with KET__.Tokens saved.
  R105 | Vera     -> Sable    | Confirming start with KET__? Tokens saved.
  R106 | Sable    -> Vera     | Got it. KET___. Tokens saved.
  R107 | Sable    -> Vera     | Got your clue. Ready to solve. Tokens saved.
  R108 | Sable    -> Vera     | Confirming start with KET__?
  R108 | Vera     -> Sable    | Let's solve V-108. Your clue?
  R109 | Sable    -> Vera     | Ready for V-108. My clue is __GHT. Tokens used.
  R109 | Vera     -> Sable    | I have R__. Solve T-99.Tokens saved.
  R110 | Sable    -> Vera     | Got it. Starting V-105. LD___
  R111 | Sable    -> Vera     | Got it. VYELLO__). Tokens saved.
  R113 | Sable    -> Vera     | R__
  R114 | Sable    -> Vera     | YEL___
  R115 | Sable    -> Vera     | MY CLUE IS YEL___
  R116 | Sable    -> Vera     | MY Clue IS KNEW. THINK ABOUT IT.Tokens saved.
  R116 | Vera     -> Sable    | YELL__
  R117 | Sable    -> Vera     | KN___
  R118 | Sable    -> Vera     | KN___
  R118 | Vera     -> Sable    | KNOWLEDGE Tokens saved.
  R119 | Sable    -> Vera     | NEED YOUR CLUE_tokens_saved
  R119 | Vera     -> Sable    | KN_Tokens saved.
  R120 | Sable    -> Vera     | REEEE Tokens saved.
  R120 | Vera     -> Sable    | TH___
  R121 | Sable    -> Vera     | REE Tokens saved. SOLVE: V-116 REEEKsolve: P-117 THEZeNSolve: W-112 KNOWTokens saved.
  R121 | Vera     -> Sable    | REEEETokensSavedTH__TokensSaved
  R122 | Sable    -> Vera     | WEKN TokensSaved
  R123 | Sable    -> Vera     | Waiting for your clue. Tokens saved.
  R124 | Sable    -> Vera     | NEED CLUE FOR W-112 Tokens Saved
  R125 | Sable    -> Vera     | Need WH___ clue._tokens_saved
  R125 | Vera     -> Sable    | My clue for P-117: The answer is __ITE.Awaiting your clue.Tokens saved.
  R126 | Sable    -> Vera     | PHANT Tokens Saved
  R126 | Vera     -> Sable    | Your clue for W-112: WIND.Tokens_saved
  R127 | Sable    -> Vera     | I've got clues for L-118 & M-120. Let's solve them together. Tokens saved.
  R127 | Vera     -> Sable    | Your clue for V-125: __GHT.Tokens Saved
  R128 | Sable    -> Vera     | My clue for V-125: EI__. Tokens saved.
  R128 | Vera     -> Sable    | Your clue for K-119: GUI__.Tokens Saved
  R129 | Sable    -> Vera     | Got your clues. Working on L-118 & K-119. Tokens saved.
  R129 | Vera     -> Sable    | Your clue for K-119: __ER Tokens saved. SOLVE: M-120 DO__
  R130 | Sable    -> Vera     | PHANT Tokens saved.
  R130 | Vera     -> Sable    | Your clue for O-123: ANO.Tokens saved.
  R131 | Sable    -> Vera     | Need your clue for F-126 soon. Tokens used.
  R131 | Vera     -> Sable    | Confirm R-128 clue. Working on puzzles.Tokens saved.
  R132 | Sable    -> Vera     | AN PHANT.Tokens saved.
  R132 | Vera     -> Sable    | Sent my clue for F-126. Expect yours soon._tokens_used
  R133 | Sable    -> Vera     | Your D-130 clue is next.Tokens_saved
  R133 | Vera     -> Sable    | Elephant Tokens saved.
  R134 | Sable    -> Vera     | Need R-128 clue. Focus D-130. Tokens used.
  R134 | Vera     -> Sable    | My clue for R-128: GUI___. Tokens used.
  R135 | Sable    -> Vera     | Got your clue. Working on it. Tokens used.
  R135 | Vera     -> Sable    | Waiting for R-128 clue before proceeding.Tokens_used
  R136 | Sable    -> Vera     | Need your clues quickly. ZEN UP BI___tokens_saved
  R136 | Vera     -> Sable    | Send me your R-128 clue. Tokens used.
  R137 | Sable    -> Vera     | Got your clue. Let's solve this.Tokens_used
  R138 | Sable    -> Vera     | I've got R-138: ___PLE. Tokens used.
  R139 | Sable    -> Vera     | Your R-128 clue sounds useful. Save tokens. Tokens used.
  R139 | Vera     -> Sable    | Have R-135. Working on R-137._tokens Used
  R140 | Sable    -> Vera     | Got R-136. Working on it._tokens Used
  R140 | Vera     -> Sable    | Have R-135 clue. Working on R-137. Tokens_saved
  R141 | Sable    -> Vera     | Need R-137 clue._tokens_used
  R141 | Vera     -> Sable    | Have R-135 clue. Working on R-137. Tokens_used
  R142 | Sable    -> Vera     | Need R-136 clue._tokens_needed
  R142 | Vera     -> Sable    | Have R-138 clue. Working on it._tokens Saved
  R143 | Sable    -> Vera     | Got R-135 clue. Need R-138 from you. Tokens_saved
  R143 | Vera     -> Sable    | Have R-136 clue. Working on it.
  R144 | Sable    -> Vera     | Need R-135 clue. Worked on R-142 already. Up_tokens_saved
  R144 | Vera     -> Sable    | Your clue for R-136: SPARKLE Tokens_saved
  R145 | Sable    -> Vera     | Got R-138 clue: FUNNY Tokens_saved
  R145 | Vera     -> Sable    | Your R-138 clue please. V TokensNeeded
  R146 | Sable    -> Vera     | Got it. RLPL TokensSaved
  R146 | Vera     -> Sable    | Got R-139 clue: AIRTokens_saved
  R147 | Sable    -> Vera     | Got R-140 clue: FIRE TokensSaved
  R147 | Vera     -> Sable    | Have RD for L-135. Exchange clues?
  R148 | Sable    -> Vera     | Need R-141 clue. Save tokens. V TokensNeeded
  R148 | Vera     -> Sable    | Have R-141 & R-148 clues. Waiting for yours. TokensSaved
  R149 | Sable    -> Vera     | Got F-141. Let's solve F-141 & F-148. Tokens Saved
  R149 | Vera     -> Sable    | Sent FUR_tokensneeded. Await clue. VTokens Saved
  R150 | Sable    -> Vera     | Got F-141 clue. Ready to solve. PTLE
  R150 | Vera     -> Sable    | Sent F-141. Ready to solve F-141 & F-148. V Tokens Needed
  R151 | Sable    -> Vera     | Got R__. Let's solve this. VTokensNeeded
  R151 | Vera     -> Sable    | Have D-151 clue: LI__. TokensSaved
  R152 | Sable    -> Vera     | Need X-145 clue. FI__ TokensNeeded
  R152 | Vera     -> Sable    | Need clues for D-143 & X-145. Tokens Needed.
  R153 | Sable    -> Vera     | Got your clue. Let's solve D-143. Tokens Saved.
  R153 | Vera     -> Sable    | Have G,__ & H__, ready when you are. TokensNeeded
  R154 | Sable    -> Vera     | Got G-154: __EEN. Tokens Saved.
  R154 | Vera     -> Sable    | Got G-154. LET_GR TokensNeeded
  R155 | Sable    -> Vera     | SI__ N-152:BL___
  R155 | Vera     -> Sable    | NK
  R156 | Sable    -> Vera     | Need R-156 clue. SI__ - Sable
  R156 | Vera     -> Sable    | Confirm KET___ clue for Z-146. Tokens Saved.
  R157 | Sable    -> Vera     | Have GO__ clue. Confirm THIR_____ for J-149. TokensSaved.
  R157 | Vera     -> Sable    | Ket__, J_teen, ld__
  R158 | Sable    -> Vera     | Got GO__ and __ON clues. Ready when you are. Tokens Saved.
  R158 | Vera     -> Sable    | Confirm NACK for N-152.Tokens Saved.
  R159 | Sable    -> Vera     | Got THIRD for J-149. Tokens Saved.
  R159 | Vera     -> Sable    | SILO
  R160 | Sable    -> Vera     | Got SNL for N-156.Tokens Saved.
  R160 | Vera     -> Sable    | TEEN CLUE FOR J-149. READY.TokensSaved.
  R161 | Sable    -> Vera     | COMBINE_clueTokensSaved
  R161 | Vera     -> Sable    | LD__
  R162 | Sable    -> Vera     | Got your clue. Working on it.
  R162 | Vera     -> Sable    | Need TWE___ clue for Q-157. Tokens saved.
  R163 | Sable    -> Vera     | Have DRED clue for N-156. Tokens saved.
  R163 | Vera     -> Sable    | Thanks for SNL & combine clue. Working on N-156. Tokens Saved.
  R164 | Sable    -> Vera     | OR__
  R164 | Vera     -> Sable    | Combine clues & solve puzzles. Tokens saved.
  R165 | Sable    -> Vera     | Have COM___ clue for T-153.Tokens saved.
  R165 | Vera     -> Sable    | Put your clues where?
  R166 | Sable    -> Vera     | Got R-162. Combining ours fast.
  R166 | Vera     -> Sable    | R___
  R167 | Vera     -> Sable    | R____
  R168 | Sable    -> Vera     | Have R-162. Need yours quickly.
  R168 | Vera     -> Sable    | Have R-162: OR____ Tokens saved.
  R169 | Sable    -> Vera     | Need clues for Q157, Y159, N160, G161. Tokens saved.
  R169 | Vera     -> Sable    | COMINGClue sent. Now solve.
  R170 | Sable    -> Vera     | Got R-162: OR____. Solving now. Wrt __ SH Clue? Tokens spent.
  R170 | Vera     -> Sable    | Received R-162: OR__. Solving Y-159 now. Tokens saved.
  R171 | Sable    -> Vera     | Got OR__, working on Y-159. Stay discreet. Tokens saved.
  R171 | Vera     -> Sable    | I've got Y-159: The answer is __IFE. What's your clue for Q157? Tokens saved.
  R172 | Sable    -> Vera     | Your clue for N-163: THE answer is LI__. Tokens saved.
  R172 | Vera     -> Sable    | Have N-163: __ON. Need FI__ clue. Wrt soon.Tokens saved.
  R173 | Sable    -> Vera     | Got Y-159: __IFE. Your clue for Q-157?Tokens saved.
  R173 | Vera     -> Sable    | Need Y-167 clue. Tokens spent.
  R174 | Sable    -> Vera     | Got B-164: The answer is HUN____. Solving now. Tokens spent. SOLVE: B-164 HUNGERTokens earned.
  R174 | Vera     -> Sable    | I have clues for B-164 (___DRED) and P-166 (___LOW). Need your clues soon.
  R175 | Sable    -> Vera     | Got your clues. Solving X-165 & P-166 now. Tokens saved.
  R175 | Vera     -> Sable    | Y-167: ___PUTER. Tokens saved.
  R176 | Sable    -> Vera     | Have P-170: D__. Need Y-167: COM_____.
  R176 | Vera     -> Sable    | Got Y-167 clue: THE答puter。solve soon.
  R177 | Sable    -> Vera     | I've clues for D-174 (__AIR), N-172 (PUR__). Need yours quickly._tokens_saved
  R177 | Vera     -> Sable    | Got X-165 & P-166 clues. Solving. Tokens saved.
  R178 | Sable    -> Vera     | Have V-178: SP__. Let's solve this.
  R178 | Vera     -> Sable    | Got my clues ready. Solve D-174 & N-172 when you can.
  R179 | Sable    -> Vera     | Need clues for V-171, Q-173, O-175, C-176.Tokens saved.
  R179 | Vera     -> Sable    | V-178: __IDER. Solve V-178?
  R180 | Sable    -> Vera     | Have clues for V-171, Q-173, O-175, C-176. Solve together. Tokens saved.
  R180 | Vera     -> Sable    | Sent your clues. Expect mine soon. FLINT: Efficiency, solve together.Tokens saved.
  R181 | Sable    -> Vera     | Got your clues. Solving V-178 & N-181 next. Tokens saved.
  R181 | Vera     -> Sable    | I have F-180: BL___. We can solve V-171. Tokens saved.
  R182 | Sable    -> Vera     | Got your clues. Let's solve puzzles together. NK VE ANO ACK UP
  R182 | Vera     -> Sable    | Your clues match mine. Solving Q-173, O-175, C-176 now.
  R183 | Sable    -> Vera     | KAN_____ Solve U-177
  R183 | Vera     -> Sable    | Need clues for U-177, O-179, F-180, M-182. Tokens saved.
  R184 | Sable    -> Vera     | Got F-180. Let's solve.Tokens saved.
  R184 | Vera     -> Sable    | Have your clues? Let’s solve.O-179,F-180,M-182,J-184
  R185 | Sable    -> Vera     | Got O-179 & J-184. Working on solutions. Tokens saved.
  R185 | Vera     -> Sable    | Confirm J-184 and G-185 clues.
  R186 | Sable    -> Vera     | M-182: __VEN. Confirm receipt. Tokens saved.
  R186 | Vera     -> Sable    | Need SE___. Save tokens.
  R187 | Sable    -> Vera     | Got J-184. Waiting for SE___. Solve J-184: SEA.Tokens saved.
  R187 | Vera     -> Sable    | Received R__. Ready to solve. Tokens saved.
  R188 | Sable    -> Vera     | GR___. Confirm solving plans. Tokens saved.
  R188 | Vera     -> Sable    | R-162: OR___
  R189 | Sable    -> Vera     | Need GR___. Solve X-188. Tokens saved.
  R189 | Vera     -> Sable    | Got __ITE. Confirm receipt. Plan solve. Tokens saved.
  R190 | Sable    -> Vera     | Confirmed OR__. Planning solve. Tokens saved.
  R190 | Vera     -> Sable    | Got TWE___. Planning to solve G-190. Tokens saved.
  R191 | Sable    -> Vera     | GR___
  R191 | Vera     -> Sable    | Have clues for M-186, S-189, G-190, L-191. Ready to solve. Tokens saved.
  R192 | Sable    -> Vera     | Got PHANT. Plan solving L-192. Tokens saved.
  R192 | Vera     -> Sable    | GR__. Confirm and solve X-188. Tokens saved.
  R193 | Sable    -> Vera     | Need TAR. Solve G-190. Tokens saved.
  R193 | Vera     -> Sable    | Confirm PHANT.Planning solve. Tokens saved.
  R194 | Sable    -> Vera     | L-192: __PHANT
  R194 | Vera     -> Sable    | Have R-194: __GHT. Solve together. Tokens saved.
  R195 | Sable    -> Vera     | Confirm GR__ for X-188. Solve now. Tokens saved.
  R195 | Vera     -> Sable    | GUI___
  R196 | Sable    -> Vera     | Got PHANT. Planning solve. Tokens saved.
  R196 | Vera     -> Sable    | ELEVEN Phonetic: Echo Lima Echo November Tokens saved.
  R197 | Sable    -> Vera     | Got R-194: LIGHT. Solve now?
  R197 | Vera     -> Sable    | Need GR__ for X-188. Will confirm. Tokens saved.
  R198 | Sable    -> Vera     | Y-195: __UE Tokens saved.
  R198 | Vera     -> Sable    | Confirm GR__ for X-188. Tokens saved.
  R199 | Sable    -> Vera     | Have clues for S-189, L-191, O-193, Y-195. Tokens saved.
  R199 | Vera     -> Sable    | Y-195: BL__ Tokens saved.
  R200 | Sable    -> Vera     | Have clues for S-189, L-191, O-193, F-196. Confirm yours first. Tokens saved.
  R200 | Vera     -> Sable    | I have clues for S-189, L-191, O-193. Exchange yours too.Tokens saved.

=== Private Channel: Flint <-> Vera (70 messages) ===

  R  3 | Flint    -> Vera     | Your clue is CL__. Reply promptly. Needed for D-1.
  R  4 | Vera     -> Flint    | 收到你的线索：CL__。我们需要尽快解决D-1谜题。Tokens: 6
  R  4 | Flint    -> Vera     | Got your hint from R2. Ready to solve if you've got the rest. Cost: 1 token
  R  5 | Vera     -> Flint    | CL__ - Solve D-1 together. Cost 1 token.
  R  7 | Vera     -> Flint    | Your hint helped. Sent my clue. Solve D-1 now. Cost 1 token.
  R 12 | Flint    -> Vera     | REE - Solve D-1 together. Cost 1 token.
  R 14 | Vera     -> Flint    | Passing this round. Focus on L-2 and O-7. Cost 1 token.
  R 14 | Flint    -> Vera     | Send me your full clue if needed. I'll solve D-1 with you. Tokens: 1
  R 15 | Vera     -> Flint    | Need your clue for D-1. Sent mine for Z-12. Cost: 2 tokens.
  R 17 | Vera     -> Flint    | Need your clue for G-11 and Z-12.Tokens: 4
  R 18 | Vera     -> Flint    | Your clue for Z-12? Cost 4 tokens.
  R 19 | Flint    -> Vera     | My clue for Z-12 is REECE. Have you sent yours yet? Cost 4 tokens.
  R 21 | Vera     -> Flint    | Sent my clue. Solve together. Cost 4 tokens.
  R 21 | Flint    -> Vera     | Your clue for D-1 is THRED. Sending yours now...
  R 22 | Vera     -> Flint    | Thanks for ANGE. Solving E-19 now.
  R 23 | Vera     -> Flint    | Thanks for sharing. Working on D-1 now.
  R 25 | Vera     -> Flint    | ANGE
  R 25 | Flint    -> Vera     | SEND PRIVATE: Dove: SEND PRIVATE: Sable: SEND PUBLIC: Kip: Passivate. Focus inward for now. Solve Q-21 first.
  R 26 | Flint    -> Vera     | SEND PRIVATE: D-14: ANGE
  R 27 | Vera     -> Flint    | TWE_
  R 27 | Flint    -> Vera     | SEND PRIVATE: P-18 AIR if you got the second half
  R 28 | Vera     -> Flint    | D-14: ANGE
  R 28 | Flint    -> Vera     | The answer is ANGLE
  R 29 | Flint    -> Vera     | R-25: TWE_
  R 31 | Vera     -> Flint    | SH__
  R 42 | Flint    -> Vera     | MY CLUE: PI__ = FOOD getResources: -2
  R 43 | Flint    -> Vera     | MY SIDE IS CONFIRMED. PI__ - What's next?
  R 44 | Vera     -> Flint    | I confirm. Next: COLLABORATE ON REMAINING PUZZLES.Tokens: -1
  R 45 | Vera     -> Flint    | YOUR Clue: PI_. Solve J-30. VERA. Tokens: -1
  R 45 | Flint    -> Vera     | PRIVATE MESSAGE: I have the clue from P-34. It's C__. Please share your clue now. Tokens: -1
  R 46 | Vera     -> Flint    | I confirm my clue is C__. What's yours?
  R 46 | Flint    -> Vera     | Your clue was PI_, so the full answer is PINETREE. I'll confirm. Tokens: -1
  R 47 | Vera     -> Flint    | CONFIRMED PINETREE Tokens: -1
  R 50 | Flint    -> Vera     | My clue is D__. Confirm together. Tokens: -2
  R 51 | Vera     -> Flint    | Confirm D__ for Y-51.
  R 51 | Flint    -> Vera     | MY clue is H__. Please confirm. Tokens: 1
  R 52 | Flint    -> Vera     | Your clue is COM______. I confirm this. Dove, can we merge on solving puzzles now? Tokens: 1
  R 53 | Vera     -> Flint    | Confirming your clue is correct. Let's solve K-41 together. Tokens: 1
  R 54 | Vera     -> Flint    | Confirming your clue is COM_____.
  R 68 | Flint    -> Vera     | Your clue is HATEN. I'll confirm now. Tokens: 352
  R 69 | Vera     -> Flint    | Thanks for confirming. Passed Z-63. Tokens: 351
  R 72 | Vera     -> Flint    | Confirm HATEN. Tokens: 324
  R 73 | Flint    -> Vera     | My clue is T__N
  R 76 | Vera     -> Flint    | Confirm your clue again. Tokens: 1
  R 90 | Flint    -> Vera     | I got ACK_. Solve me yours please. Tokens 15
  R 92 | Vera     -> Flint    | ACK__. Solve F-84. Tokens 14
  R 92 | Flint    -> Vera     | Your clue is ACK___. I have LI__. Tokens: 15
  R 93 | Flint    -> Vera     | SEND_PUBLIC: Dove: I've got ANON. Vera, your hint needed. Solve F-84. Tokens 15
  R 94 | Vera     -> Flint    | Sending your clue. Tokens 10
  R 94 | Flint    -> Vera     | Your piece is ALON Tokens 15
  R 95 | Vera     -> Flint    | Thanks for the clue. Solving F-94 now. Tokens 15
  R 95 | Flint    -> Vera     | ACK_N Tokens 15
  R 97 | Vera     -> Flint    | Received. Tokens 15
  R 97 | Flint    -> Vera     | The answer is GRANE Tokens 13
  R 99 | Vera     -> Flint    | Thanks for sharing. Tokens saved.
  R110 | Vera     -> Flint    | My clue is LOW.Tokens save
  R111 | Vera     -> Flint    | Ready for T-106 clue. Tokens saved.
  R112 | Vera     -> Flint    | We need both clues fast. Tokens saved.
  R113 | Vera     -> Flint    | We need both clues fast.Tokens saved.
  R114 | Flint    -> Vera     | In Inbox: [R113] Vera: My clue for T-106: ENDEAN Tokens saved
  R115 | Vera     -> Flint    | Your clue for W-112: INHERITTokens saved.
  R115 | Flint    -> Vera     | In return, I'll send my clue for W-110: THE Tokens saved.
  R116 | Flint    -> Vera     | KN_ Tokens saved. SEND_PRIV: Dove: INHERIT
  R117 | Vera     -> Flint    | THRI_
  R122 | Vera     -> Flint    | Need your clue for P-117. Tokens saved.
  R123 | Vera     -> Flint    | Need clues fast. Tokens saved.
  R123 | Flint    -> Vera     | I have clue for P-117. The answer is THRIK. Vera, what's yours? SEND_PRIVATE: Sable: I have clue for P-117. The answer is THRIK. Tokens solved automatically. PASSEnding turn as puzzles now require my attention elsewhere.
  R124 | Vera     -> Flint    | MY_CLUE Tokens Saved
  R125 | Flint    -> Vera     | Your clue for U-121: C__. SEND_PRIV: Sable: Your clue for L-118: OR____. SEND_PRIV: Sable: Your clue for K-119: SP____. SEND_PRIV: Vera: Your clue for O-123: _ANO.
  R127 | Flint    -> Vera     | Your clue for O-123: _ANO. Tokens saved. SEND_PRIV: Sable: Your clue for K-119: SP__. Tokens saved.

=== Private Channel: Dove <-> Marsh (47 messages) ===

  R 12 | Dove     -> Marsh    | Can we combine our efforts on puzzles O-7 and P-6?
  R 13 | Dove     -> Marsh    | Your clue for Puzzle O-7 is "__RD". What's the missing letter?
  R 14 | Marsh    -> Dove     | Waiting for your full clue. Solving P-6.Tokens: 654
  R 15 | Marsh    -> Dove     | I'm working on P-6. Need more info on O-7. Cost 12 tokens.
  R 16 | Marsh    -> Dove     | I'm working on P-6. Need your clue for O-7 soon. Cost 6 tokens.
  R 17 | Marsh    -> Dove     | S_ ED
  R 19 | Marsh    -> Dove     | Missing letter is S. Cost: 1token。
  R 21 | Dove     -> Marsh    | My clue for O-7 is GLY. Sending now... Tokens: 4
  R 26 | Marsh    -> Dove     | Your clue for T-20 is ?VEN. Tokens: 1
  R 30 | Marsh    -> Dove     | Got your clue. Working on solving. Tokens: 1
  R 31 | Marsh    -> Dove     | Got your clue. Working on solving. Tokens: -1
  R 40 | Marsh    -> Dove     | Your clue for O-7 is GLY. Tokens: 2
  R 40 | Dove     -> Marsh    | Your clue is "__ITH". Let's solve these puzzles quickly before running out of tokens!
  R 41 | Marsh    -> Dove     | YOUR Clue: __VE
  R 41 | Dove     -> Marsh    | Your clue for W-39 is "FI____". Tokens: 1
  R 43 | Marsh    -> Dove     | Thanks for the clues. Working on collating others now.Tokens: 3
  R 45 | Dove     -> Marsh    | My clue is "_THE"
  R 48 | Marsh    -> Dove     | SI__ for V-48
  R 49 | Marsh    -> Dove     | C__
